,SYS_NM,notnas,inlet,subinlet,distancefromconuma
1,BRODICK CREEK,49,esperanza,esperanza,60540
2,BURMAN RIVER,66,nootka,gold,53432
3,CANTON CREEK,62,nootka,conuma,3639
4,CHUM CREEK,56,esperanza,espinosa,73573
5,CONUMA RIVER,65,nootka,conuma,0
6,DESERTED CREEK,59,nootka,conuma,15114
7,ELIZA CREEK,44,esperanza,eliza,76292
8,ESPINOSA CREEK,59,esperanza,espinosa,75054
9,GOLD RIVER,43,nootka,gold,46296
10,HAMMOND CREEK,54,esperanza,eliza,76084
11,HOISS CREEK,56,nootka,nootka,18362
12,KLEEPTEE CREEK,58,nootka,gold,26510
13,LEINER RIVER,66,tahsis,tahsis,45241
14,LITTLE ZEBALLOS RIVER,64,esperanza,zeballos,57414
15,LORD CREEK,50,esperanza,esperanza,43611
16,MAMAT CREEK,51,esperanza,espinosa,72778
17,MARVINAS BAY CREEK,47,nootka,nootka,22355
18,MOOYAH RIVER,54,nootka,gold,22378
19,OWOSSITSA CREEK,51,esperanza,esperanza,63067
20,PARK RIVER,63,esperanza,eliza,68427
21,RANSOM RIVER,55,esperanza,ransom,91027
22,SUCWOA RIVER,60,nootka,conuma,5305
23,TAHSIS RIVER,65,tahsis,tahsis,45834
24,TLUPANA RIVER,61,nootka,conuma,9888
25,TSOWWIN RIVER,60,tahsis,tahsis,29663
26,ZEBALLOS RIVER,66,esperanza,zeballos,61808
