SYS_NM,notnas,inlet,subinlet,distancefromconuma
BRODICK CREEK,49,esperanza,esperanza,60540
BURMAN RIVER,66,nootka,gold,53432
CANTON CREEK,62,nootka,conuma,3639
CHUM CREEK,56,esperanza,espinosa,73573
CONUMA RIVER,65,nootka,conuma,0
DESERTED CREEK,59,nootka,conuma,15114
ESPINOSA CREEK,59,esperanza,espinosa,75054
HAMMOND CREEK,54,esperanza,eliza,76084
HOISS CREEK,56,nootka,nootka,18362
KLEEPTEE CREEK,58,nootka,gold,26510
LEINER RIVER,66,tahsis,tahsis,45241
LITTLE ZEBALLOS RIVER,64,esperanza,zeballos,57414
LORD CREEK,50,esperanza,esperanza,43611
MAMAT CREEK,51,esperanza,espinosa,72778
MARVINAS BAY CREEK,47,nootka,nootka,22355
MOOYAH RIVER,54,nootka,gold,22378
OWOSSITSA CREEK,51,esperanza,esperanza,63067
PARK RIVER,63,esperanza,eliza,68427
RANSOM RIVER,55,esperanza,ransom,91027
SUCWOA RIVER,60,nootka,conuma,5305
TAHSIS RIVER,65,tahsis,tahsis,45834
TLUPANA RIVER,61,nootka,conuma,9888
TSOWWIN RIVER,60,tahsis,tahsis,29663
ZEBALLOS RIVER,66,esperanza,zeballos,61808
