 	StatArea.CU	CU_Name	BroodYear	Escape	TR2	TR3	TR4	TR5	TR6	TR7	Total	Total.ER	Age2	Age3	Age4	Age5	Age6	Age7
CK	CK-022	CK022-East Vancouver Island-Cowichan and Koksilah_FA_0.x	1948	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CK	CK-022	CK022-East Vancouver Island-Cowichan and Koksilah_FA_0.x	1949	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CK	CK-022	CK022-East Vancouver Island-Cowichan and Koksilah_FA_0.x	1950	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CK	CK-022	CK022-East Vancouver Island-Cowichan and Koksilah_FA_0.x	1951	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CK	CK-022	CK022-East Vancouver Island-Cowichan and Koksilah_FA_0.x	1952	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CK	CK-022	CK022-East Vancouver Island-Cowichan and Koksilah_FA_0.x	1953	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CK	CK-022	CK022-East Vancouver Island-Cowichan and Koksilah_FA_0.x	1954	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CK	CK-022	CK022-East Vancouver Island-Cowichan and Koksilah_FA_0.x	1955	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CK	CK-022	CK022-East Vancouver Island-Cowichan and Koksilah_FA_0.x	1956	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CK	CK-022	CK022-East Vancouver Island-Cowichan and Koksilah_FA_0.x	1957	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CK	CK-022	CK022-East Vancouver Island-Cowichan and Koksilah_FA_0.x	1958	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CK	CK-022	CK022-East Vancouver Island-Cowichan and Koksilah_FA_0.x	1959	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CK	CK-022	CK022-East Vancouver Island-Cowichan and Koksilah_FA_0.x	1960	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CK	CK-022	CK022-East Vancouver Island-Cowichan and Koksilah_FA_0.x	1961	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CK	CK-022	CK022-East Vancouver Island-Cowichan and Koksilah_FA_0.x	1962	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CK	CK-022	CK022-East Vancouver Island-Cowichan and Koksilah_FA_0.x	1963	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CK	CK-022	CK022-East Vancouver Island-Cowichan and Koksilah_FA_0.x	1964	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CK	CK-022	CK022-East Vancouver Island-Cowichan and Koksilah_FA_0.x	1965	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CK	CK-022	CK022-East Vancouver Island-Cowichan and Koksilah_FA_0.x	1966	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CK	CK-022	CK022-East Vancouver Island-Cowichan and Koksilah_FA_0.x	1967	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CK	CK-022	CK022-East Vancouver Island-Cowichan and Koksilah_FA_0.x	1968	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CK	CK-022	CK022-East Vancouver Island-Cowichan and Koksilah_FA_0.x	1969	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CK	CK-022	CK022-East Vancouver Island-Cowichan and Koksilah_FA_0.x	1970	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CK	CK-022	CK022-East Vancouver Island-Cowichan and Koksilah_FA_0.x	1971	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CK	CK-022	CK022-East Vancouver Island-Cowichan and Koksilah_FA_0.x	1972	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CK	CK-022	CK022-East Vancouver Island-Cowichan and Koksilah_FA_0.x	1973	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CK	CK-022	CK022-East Vancouver Island-Cowichan and Koksilah_FA_0.x	1974	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CK	CK-022	CK022-East Vancouver Island-Cowichan and Koksilah_FA_0.x	1975	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
