"","SPECIES","SYS_NM","SPP","Area","CU_name","Year","escapement","Enhancement_Rank"
"1","Chum","ALMOND LAGOON CREEK","CM","25","Southwest Vancouver Island",1996,10,"NONE"
"2","Chum","ALMOND LAGOON CREEK","CM","25","Southwest Vancouver Island",1988,NA,"NONE"
"3","Chum","ALMOND LAGOON CREEK","CM","25","Southwest Vancouver Island",1993,NA,"NONE"
"4","Chum","ALMOND LAGOON CREEK","CM","25","Southwest Vancouver Island",1952,NA,"NONE"
"5","Chum","ALMOND LAGOON CREEK","CM","25","Southwest Vancouver Island",1980,NA,"NONE"
"6","Chum","ALMOND LAGOON CREEK","CM","25","Southwest Vancouver Island",2010,NA,"NONE"
"7","Chum","ALMOND LAGOON CREEK","CM","25","Southwest Vancouver Island",1973,NA,"NONE"
"8","Chum","ALMOND LAGOON CREEK","CM","25","Southwest Vancouver Island",1999,NA,"NONE"
"9","Chum","ALMOND LAGOON CREEK","CM","25","Southwest Vancouver Island",1990,NA,"NONE"
"10","Chum","ALMOND LAGOON CREEK","CM","25","Southwest Vancouver Island",1995,NA,"NONE"
"11","Chum","ALMOND LAGOON CREEK","CM","25","Southwest Vancouver Island",1965,NA,"NONE"
"12","Chum","ALMOND LAGOON CREEK","CM","25","Southwest Vancouver Island",1994,NA,"NONE"
"13","Chum","ALMOND LAGOON CREEK","CM","25","Southwest Vancouver Island",1971,NA,"NONE"
"14","Chum","ALMOND LAGOON CREEK","CM","25","Southwest Vancouver Island",1979,NA,"NONE"
"15","Chum","ALMOND LAGOON CREEK","CM","25","Southwest Vancouver Island",2001,NA,"NONE"
"16","Chum","ALMOND LAGOON CREEK","CM","25","Southwest Vancouver Island",1989,NA,"NONE"
"17","Chum","ALMOND LAGOON CREEK","CM","25","Southwest Vancouver Island",2016,NA,"NONE"
"18","Chum","ALMOND LAGOON CREEK","CM","25","Southwest Vancouver Island",1992,NA,"NONE"
"19","Chum","ALMOND LAGOON CREEK","CM","25","Southwest Vancouver Island",2012,NA,"NONE"
