"","V1","SPECIES","SYS_NM","SPP","Area","CU_name","Year","escapement","Enhancement_Rank","esc.log","z","m.ave","esc.stand","prepost"
"1",1,"Chum","BRODICK CREEK","CM",25,"Southwest Vancouver Island",1950,NA,"NONE",NA,NA,NA,NA,"Pre"
"2",2,"Chum","BRODICK CREEK","CM",25,"Southwest Vancouver Island",1951,NA,"NONE",NA,NA,NA,NA,"Pre"
"3",3,"Chum","BRODICK CREEK","CM",25,"Southwest Vancouver Island",1952,NA,"NONE",NA,NA,NA,NA,"Pre"
"4",4,"Chum","BRODICK CREEK","CM",25,"Southwest Vancouver Island",1953,3500,"NONE",8.1605182474775,1.33918333258975,NA,1.33566399248271,"Pre"
"5",5,"Chum","BRODICK CREEK","CM",25,"Southwest Vancouver Island",1954,2500,"NONE",7.82404601085629,1.11946616461342,NA,1.28059226329884,"Pre"
"6",6,"Chum","BRODICK CREEK","CM",25,"Southwest Vancouver Island",1955,75,"NONE",4.31748811353631,-1.17032445312344,NA,0.706660194406781,"Pre"
"7",7,"Chum","BRODICK CREEK","CM",25,"Southwest Vancouver Island",1956,200,"NONE",5.29831736654804,-0.529840626273013,6.40009243460454,0.867196360896749,"Pre"
"8",8,"Chum","BRODICK CREEK","CM",25,"Southwest Vancouver Island",1957,750,"NONE",6.62007320653036,0.333269069889017,6.01498117436775,1.08353331754332,"Pre"
"9",9,"Chum","BRODICK CREEK","CM",25,"Southwest Vancouver Island",1958,1500,"NONE",7.3132203870903,0.785895821601849,5.88727476842625,1.19698343216699,"Pre"
"10",10,"Chum","BRODICK CREEK","CM",25,"Southwest Vancouver Island",1959,750,"NONE",6.62007320653036,0.333269069889017,6.46292104167476,1.08353331754332,"Pre"
"11",11,"Chum","BRODICK CREEK","CM",25,"Southwest Vancouver Island",1960,3500,"NONE",8.1605182474775,1.33918333258975,7.17847126190713,1.33566399248271,"Pre"
"12",12,"Chum","BRODICK CREEK","CM",25,"Southwest Vancouver Island",1961,25,"NONE",3.2188758248682,-1.88772088141151,6.32817191649159,0.526846017025756,"Pre"
"13",13,"Chum","BRODICK CREEK","CM",25,"Southwest Vancouver Island",1962,750,"NONE",6.62007320653036,0.333269069889017,6.1548851213516,1.08353331754332,"Pre"
"14",14,"Chum","BRODICK CREEK","CM",25,"Southwest Vancouver Island",1963,400,"NONE",5.99146454710798,-0.0772138745601818,5.99773295649601,0.980646475520414,"Pre"
"15",15,"Chum","BRODICK CREEK","CM",25,"Southwest Vancouver Island",1964,3500,"NONE",8.1605182474775,1.33918333258975,5.99773295649601,1.33566399248271,"Pre"
"16",16,"Chum","BRODICK CREEK","CM",25,"Southwest Vancouver Island",1965,400,"NONE",5.99146454710798,-0.0772138745601818,6.69088013705596,0.980646475520414,"Pre"
"17",17,"Chum","BRODICK CREEK","CM",25,"Southwest Vancouver Island",1966,1500,"NONE",7.3132203870903,0.785895821601849,6.86416693219594,1.19698343216699,"Pre"
"18",18,"Chum","BRODICK CREEK","CM",25,"Southwest Vancouver Island",1967,750,"NONE",6.62007320653036,0.333269069889017,7.02131909705154,1.08353331754332,"Pre"
"19",19,"Chum","BRODICK CREEK","CM",25,"Southwest Vancouver Island",1968,750,"NONE",6.62007320653036,0.333269069889017,6.63620783681475,1.08353331754332,"Pre"
"20",20,"Chum","BRODICK CREEK","CM",25,"Southwest Vancouver Island",1969,75,"NONE",4.31748811353631,-1.17032445312344,6.21771372842183,0.706660194406781,"Pre"
"21",21,"Chum","BRODICK CREEK","CM",25,"Southwest Vancouver Island",1970,500,"NONE",6.21460809842219,0.0684993933137852,5.9430606562548,1.01716925478596,"Pre"
"22",22,"Chum","BRODICK CREEK","CM",25,"Southwest Vancouver Island",1971,200,"NONE",5.29831736654804,-0.529840626273013,5.61262169625922,0.867196360896749,"Pre"
"23",23,"Chum","BRODICK CREEK","CM",25,"Southwest Vancouver Island",1972,750,"NONE",6.62007320653036,0.333269069889017,5.61262169625922,1.08353331754332,"Pre"
"24",24,"Chum","BRODICK CREEK","CM",25,"Southwest Vancouver Island",1973,1500,"NONE",7.3132203870903,0.785895821601849,6.36155476464772,1.19698343216699,"Pre"
"25",25,"Chum","BRODICK CREEK","CM",25,"Southwest Vancouver Island",1974,750,"NONE",6.62007320653036,0.333269069889017,6.46292104167476,1.08353331754332,"Pre"
"26",26,"Chum","BRODICK CREEK","CM",25,"Southwest Vancouver Island",1975,200,"NONE",5.29831736654804,-0.529840626273013,6.46292104167476,0.867196360896749,"Pre"
"27",27,"Chum","BRODICK CREEK","CM",25,"Southwest Vancouver Island",1976,400,"NONE",5.99146454710798,-0.0772138745601818,6.30576887681917,0.980646475520414,"Pre"
"28",28,"Chum","BRODICK CREEK","CM",25,"Southwest Vancouver Island",1977,100,"NONE",4.60517018598809,-0.982467377985844,5.62875632654362,0.753746246273085,"Pre"
"29",29,"Chum","BRODICK CREEK","CM",25,"Southwest Vancouver Island",1978,400,"NONE",5.99146454710798,-0.0772138745601818,5.47160416168802,0.980646475520414,"Pre"
"30",30,"Chum","BRODICK CREEK","CM",25,"Southwest Vancouver Island",1979,242,"NONE",5.48893772615669,-0.405365079665011,5.51925925159019,0.898395941957925,"Pre"
"31",31,"Chum","BRODICK CREEK","CM",25,"Southwest Vancouver Island",1980,750,"NONE",6.62007320653036,0.333269069889017,5.67641141644578,1.08353331754332,"Post"
"32",32,"Chum","BRODICK CREEK","CM",25,"Southwest Vancouver Island",1981,NA,"NONE",NA,NA,NA,NA,"Post"
"33",33,"Chum","BRODICK CREEK","CM",25,"Southwest Vancouver Island",1982,NA,"NONE",NA,NA,NA,NA,"Post"
"34",34,"Chum","BRODICK CREEK","CM",25,"Southwest Vancouver Island",1983,1050,"NONE",6.95654544315157,0.55298623786535,NA,1.13860504672719,"Post"
"35",35,"Chum","BRODICK CREEK","CM",25,"Southwest Vancouver Island",1984,700,"NONE",6.5510803350434,0.288216561290118,NA,1.07224098396983,"Post"
"36",36,"Chum","BRODICK CREEK","CM",25,"Southwest Vancouver Island",1985,1400,"NONE",7.24422751560335,0.740843313002949,NA,1.18569109859349,"Post"
"37",37,"Chum","BRODICK CREEK","CM",25,"Southwest Vancouver Island",1986,1400,"NONE",7.24422751560335,0.740843313002949,6.99902020235042,1.18569109859349,"Post"
"38",38,"Chum","BRODICK CREEK","CM",25,"Southwest Vancouver Island",1987,750,"NONE",6.62007320653036,0.333269069889017,6.91490214319511,1.08353331754332,"Post"
"39",39,"Chum","BRODICK CREEK","CM",25,"Southwest Vancouver Island",1988,1200,"NONE",7.09007683577609,0.640182553727882,7.04965126837829,1.16046065290144,"Post"
"40",40,"Chum","BRODICK CREEK","CM",25,"Southwest Vancouver Island",1989,NA,"NONE",NA,NA,NA,NA,"Post"
"41",41,"Chum","BRODICK CREEK","CM",25,"Southwest Vancouver Island",1990,1160,"NONE",7.05617528410041,0.618044760134619,NA,1.15491185312068,"Post"
"42",42,"Chum","BRODICK CREEK","CM",25,"Southwest Vancouver Island",1991,11,"NONE",2.39789527279837,-2.42382312769431,NA,0.39247291366713,"Post"
"43",43,"Chum","BRODICK CREEK","CM",25,"Southwest Vancouver Island",1992,3500,"NONE",8.1605182474775,1.33918333258975,NA,1.33566399248271,"Post"
"44",44,"Chum","BRODICK CREEK","CM",25,"Southwest Vancouver Island",1993,1350,"NONE",7.20785987143248,0.717095155165514,6.20561216895219,1.1797386637925,"Post"
"45",45,"Chum","BRODICK CREEK","CM",25,"Southwest Vancouver Island",1994,2700,"NONE",7.90100705199242,1.16972190687835,6.41682011092519,1.29318877841616,"Post"
"46",46,"Chum","BRODICK CREEK","CM",25,"Southwest Vancouver Island",1995,NA,"NONE",NA,NA,NA,NA,"Post"
"47",47,"Chum","BRODICK CREEK","CM",25,"Southwest Vancouver Island",1996,650,"NONE",6.47697236288968,0.239823879832672,NA,1.06011144183049,"Post"
"48",48,"Chum","BRODICK CREEK","CM",25,"Southwest Vancouver Island",1997,425,"NONE",6.05208916892442,-0.0376258528294652,NA,0.990569144885576,"Post"
"49",49,"Chum","BRODICK CREEK","CM",25,"Southwest Vancouver Island",1998,4605,"NONE",8.43489794868941,1.51835392778016,NA,1.38057279313274,"Post"
"50",50,"Chum","BRODICK CREEK","CM",25,"Southwest Vancouver Island",1999,60,"NONE",4.0943445622221,-1.31603772099741,6.2645760106814,0.670137415141232,"Post"
"51",51,"Chum","BRODICK CREEK","CM",25,"Southwest Vancouver Island",2000,NA,"NONE",NA,NA,NA,NA,"Post"
"52",52,"Chum","BRODICK CREEK","CM",25,"Southwest Vancouver Island",2001,NA,"NONE",NA,NA,NA,NA,"Post"
"53",53,"Chum","BRODICK CREEK","CM",25,"Southwest Vancouver Island",2002,NA,"NONE",NA,NA,NA,NA,"Post"
"54",54,"Chum","BRODICK CREEK","CM",25,"Southwest Vancouver Island",2003,NA,"NONE",NA,NA,NA,NA,"Post"
"55",55,"Chum","BRODICK CREEK","CM",25,"Southwest Vancouver Island",2004,NA,"NONE",NA,NA,NA,NA,"Post"
"56",56,"Chum","BRODICK CREEK","CM",25,"Southwest Vancouver Island",2005,NA,"NONE",NA,NA,NA,NA,"Post"
"57",57,"Chum","BRODICK CREEK","CM",25,"Southwest Vancouver Island",2006,142,"NONE",4.95582705760126,-0.75348760974119,NA,0.811139630238021,"Post"
"58",58,"Chum","BRODICK CREEK","CM",25,"Southwest Vancouver Island",2007,16,"NONE",2.77258872223978,-2.17914741715944,NA,0.453800458494658,"Post"
"59",59,"Chum","BRODICK CREEK","CM",25,"Southwest Vancouver Island",2008,8,"NONE",2.07944154167984,-2.63177416887227,NA,0.340350343870993,"Post"
"60",60,"Chum","BRODICK CREEK","CM",25,"Southwest Vancouver Island",2009,70,"NONE",4.24849524204936,-1.21537696172234,3.51408814089256,0.695367860833286,"Post"
"61",61,"Chum","BRODICK CREEK","CM",25,"Southwest Vancouver Island",2010,182,"NONE",5.2040066870768,-0.591425723490625,3.57613304826144,0.851760162501476,"Post"
"62",62,"Chum","BRODICK CREEK","CM",25,"Southwest Vancouver Island",2011,221,"NONE",5.39816270151775,-0.464641385897378,4.23252654308094,0.883538438040887,"Post"
"63",63,"Chum","BRODICK CREEK","CM",25,"Southwest Vancouver Island",2012,NA,"NONE",NA,NA,NA,NA,"Post"
"64",64,"Chum","BRODICK CREEK","CM",25,"Southwest Vancouver Island",2013,NA,"NONE",NA,NA,NA,NA,"Post"
"65",65,"Chum","BRODICK CREEK","CM",25,"Southwest Vancouver Island",2014,NA,"NONE",NA,NA,NA,NA,"Post"
"66",66,"Chum","BRODICK CREEK","CM",25,"Southwest Vancouver Island",2015,NA,"NONE",NA,NA,NA,NA,"Post"
"67",67,"Chum","BRODICK CREEK","CM",25,"Southwest Vancouver Island",2016,NA,"NONE",NA,NA,NA,NA,"Post"
"68",68,"Chum","BRODICK CREEK","CM",25,"Southwest Vancouver Island",2017,NA,"NONE",NA,NA,NA,NA,"Post"
"69",69,"Chum","BRODICK CREEK","CM",25,"Southwest Vancouver Island",2018,NA,"NONE",NA,NA,NA,NA,"Post"
"70",70,"Chum","BURMAN RIVER","CM",25,"Southwest Vancouver Island",1950,NA,"NONE",NA,NA,NA,NA,"Pre"
"71",71,"Chum","BURMAN RIVER","CM",25,"Southwest Vancouver Island",1951,NA,"NONE",NA,NA,NA,NA,"Pre"
"72",72,"Chum","BURMAN RIVER","CM",25,"Southwest Vancouver Island",1952,NA,"NONE",NA,NA,NA,NA,"Pre"
"73",73,"Chum","BURMAN RIVER","CM",25,"Southwest Vancouver Island",1953,7500,"NONE",8.9226582995244,0.602216589765116,NA,1.0713397070904,"Pre"
"74",74,"Chum","BURMAN RIVER","CM",25,"Southwest Vancouver Island",1954,7500,"NONE",8.9226582995244,0.602216589765116,NA,1.0713397070904,"Pre"
"75",75,"Chum","BURMAN RIVER","CM",25,"Southwest Vancouver Island",1955,3500,"NONE",8.1605182474775,-0.170266744263658,NA,0.979829882023437,"Pre"
"76",76,"Chum","BURMAN RIVER","CM",25,"Southwest Vancouver Island",1956,15000,"NONE",9.61580548008435,1.30477072476109,8.90541008165266,1.15456558804017,"Pre"
"77",77,"Chum","BURMAN RIVER","CM",25,"Southwest Vancouver Island",1957,3500,"NONE",8.1605182474775,-0.170266744263658,8.71487506864094,0.979829882023437,"Pre"
"78",78,"Chum","BURMAN RIVER","CM",25,"Southwest Vancouver Island",1958,7500,"NONE",8.9226582995244,0.602216589765116,8.71487506864094,1.0713397070904,"Pre"
"79",79,"Chum","BURMAN RIVER","CM",25,"Southwest Vancouver Island",1959,750,"NONE",6.62007320653036,-1.73161772945729,8.32976380840415,0.794869314941635,"Pre"
"80",80,"Chum","BURMAN RIVER","CM",25,"Southwest Vancouver Island",1960,15000,"NONE",9.61580548008435,1.30477072476109,8.32976380840415,1.15456558804017,"Pre"
"81",81,"Chum","BURMAN RIVER","CM",25,"Southwest Vancouver Island",1961,3500,"NONE",8.1605182474775,-0.170266744263658,8.32976380840415,0.979829882023437,"Pre"
"82",82,"Chum","BURMAN RIVER","CM",25,"Southwest Vancouver Island",1962,7500,"NONE",8.9226582995244,0.602216589765116,8.32976380840415,1.0713397070904,"Pre"
"83",83,"Chum","BURMAN RIVER","CM",25,"Southwest Vancouver Island",1963,9000,"NONE",9.10497985631836,0.787012499229856,8.95099047085115,1.09323097723602,"Pre"
"84",84,"Chum","BURMAN RIVER","CM",25,"Southwest Vancouver Island",1964,5500,"NONE",8.61250337122056,0.287852435252918,8.70016494363521,1.03409953954309,"Pre"
"85",85,"Chum","BURMAN RIVER","CM",25,"Southwest Vancouver Island",1965,3500,"NONE",8.1605182474775,-0.170266744263658,8.70016494363521,0.979829882023437,"Pre"
"86",86,"Chum","BURMAN RIVER","CM",25,"Southwest Vancouver Island",1966,4000,"NONE",8.29404964010203,-0.034923148168607,8.54301277877961,0.995862938345829,"Pre"
"87",87,"Chum","BURMAN RIVER","CM",25,"Southwest Vancouver Island",1967,12000,"NONE",9.39266192877014,1.07859881052659,8.61493329689256,1.12777283874069,"Pre"
"88",88,"Chum","BURMAN RIVER","CM",25,"Southwest Vancouver Island",1968,7500,"NONE",8.9226582995244,0.602216589765116,8.69247202896852,1.0713397070904,"Pre"
"89",89,"Chum","BURMAN RIVER","CM",25,"Southwest Vancouver Island",1969,7500,"NONE",8.9226582995244,0.602216589765116,8.88300704198024,1.0713397070904,"Pre"
"90",90,"Chum","BURMAN RIVER","CM",25,"Southwest Vancouver Island",1970,3000,"NONE",8.00636756765025,-0.326509459465346,8.8110865238673,0.96132107684116,"Pre"
"91",91,"Chum","BURMAN RIVER","CM",25,"Southwest Vancouver Island",1971,6700,"NONE",8.80986280537906,0.487890306627515,8.66538674301953,1.05779640109322,"Pre"
"92",92,"Chum","BURMAN RIVER","CM",25,"Southwest Vancouver Island",1972,1350,"NONE",7.20785987143248,-1.13585399629331,8.23668713599655,0.865444604532344,"Pre"
"93",93,"Chum","BURMAN RIVER","CM",25,"Southwest Vancouver Island",1973,7500,"NONE",8.9226582995244,0.602216589765116,8.23668713599655,1.0713397070904,"Pre"
"94",94,"Chum","BURMAN RIVER","CM",25,"Southwest Vancouver Island",1974,7500,"NONE",8.9226582995244,0.602216589765116,8.46575981896508,1.0713397070904,"Pre"
"95",95,"Chum","BURMAN RIVER","CM",25,"Southwest Vancouver Island",1975,7500,"NONE",8.9226582995244,0.602216589765116,8.49395869250142,1.0713397070904,"Pre"
"96",96,"Chum","BURMAN RIVER","CM",25,"Southwest Vancouver Island",1976,7500,"NONE",8.9226582995244,0.602216589765116,8.9226582995244,1.0713397070904,"Pre"
"97",97,"Chum","BURMAN RIVER","CM",25,"Southwest Vancouver Island",1977,3500,"NONE",8.1605182474775,-0.170266744263658,8.73212328651268,0.979829882023437,"Pre"
"98",98,"Chum","BURMAN RIVER","CM",25,"Southwest Vancouver Island",1978,6500,"NONE",8.77955745588373,0.457173672126829,8.69634807560251,1.05415765094032,"Pre"
"99",99,"Chum","BURMAN RIVER","CM",25,"Southwest Vancouver Island",1979,720,"NONE",6.5792512120101,-1.77299373422704,8.11049630372393,0.78996783578777,"Pre"
"100",100,"Chum","BURMAN RIVER","CM",25,"Southwest Vancouver Island",1980,3000,"NONE",8.00636756765025,-0.326509459465346,7.8814236207554,0.96132107684116,"Post"
"101",101,"Chum","BURMAN RIVER","CM",25,"Southwest Vancouver Island",1981,7600,"NONE",8.93590352627442,0.615641572341932,8.07526994045462,1.07293005571414,"Post"
"102",102,"Chum","BURMAN RIVER","CM",25,"Southwest Vancouver Island",1982,7500,"NONE",8.9226582995244,0.602216589765116,8.11104515136479,1.0713397070904,"Post"
"103",103,"Chum","BURMAN RIVER","CM",25,"Southwest Vancouver Island",1983,3500,"NONE",8.1605182474775,-0.170266744263658,8.50636191023164,0.979829882023437,"Post"
"104",104,"Chum","BURMAN RIVER","CM",25,"Southwest Vancouver Island",1984,1000,"NONE",6.90775527898214,-1.44003141816055,8.23170883806462,0.829411176446303,"Post"
"105",105,"Chum","BURMAN RIVER","CM",25,"Southwest Vancouver Island",1985,1000,"NONE",6.90775527898214,-1.44003141816055,7.72467177624154,0.829411176446303,"Post"
"106",106,"Chum","BURMAN RIVER","CM",25,"Southwest Vancouver Island",1986,500,"NONE",6.21460809842219,-2.14258555315652,7.04765922596599,0.74618529549654,"Post"
"107",107,"Chum","BURMAN RIVER","CM",25,"Southwest Vancouver Island",1987,1700,"NONE",7.43838353004431,-0.902201816620147,6.86712554660769,0.893123480110015,"Post"
"108",108,"Chum","BURMAN RIVER","CM",25,"Southwest Vancouver Island",1988,1500,"NONE",7.3132203870903,-1.02906359446132,6.96849182363473,0.878095195891398,"Post"
"109",109,"Chum","BURMAN RIVER","CM",25,"Southwest Vancouver Island",1989,700,"NONE",6.5510803350434,-1.80154692849009,6.87932308765005,0.786585370824432,"Post"
"110",110,"Chum","BURMAN RIVER","CM",25,"Southwest Vancouver Island",1990,750,"NONE",6.62007320653036,-1.73161772945729,6.98068936467709,0.794869314941635,"Post"
"111",111,"Chum","BURMAN RIVER","CM",25,"Southwest Vancouver Island",1991,16000,"NONE",9.68034400122192,1.37018512182333,7.5411794824715,1.16231470024535,"Post"
"112",112,"Chum","BURMAN RIVER","CM",25,"Southwest Vancouver Island",1992,9000,"NONE",9.10497985631836,0.787012499229856,7.98911934977851,1.09323097723602,"Post"
"113",113,"Chum","BURMAN RIVER","CM",25,"Southwest Vancouver Island",1993,14000,"NONE",9.5468126085974,1.23484152572828,8.73805241816701,1.14628164392296,"Post"
"114",114,"Chum","BURMAN RIVER","CM",25,"Southwest Vancouver Island",1994,1000,"NONE",6.90775527898214,-1.44003141816055,8.80997293627995,0.829411176446303,"Post"
"115",115,"Chum","BURMAN RIVER","CM",25,"Southwest Vancouver Island",1995,2920,"NONE",7.97933889526233,-0.353904947872648,8.38472165979005,0.958075755885559,"Post"
"116",116,"Chum","BURMAN RIVER","CM",25,"Southwest Vancouver Island",1996,6005,"NONE",8.70034773451408,0.376888966596948,8.28356362933899,1.04464697409468,"Post"
"117",117,"Chum","BURMAN RIVER","CM",25,"Southwest Vancouver Island",1997,10135,"NONE",9.2237500588861,0.907394575747675,8.20279799191116,1.10749166387878,"Post"
"118",118,"Chum","BURMAN RIVER","CM",25,"Southwest Vancouver Island",1998,22236,"NONE",10.0094678760734,1.70377565740913,8.97822614118397,1.2018324609668,"Post"
"119",119,"Chum","BURMAN RIVER","CM",25,"Southwest Vancouver Island",1999,5325,"NONE",8.58016799057763,0.255078219307884,9.12843341501279,1.03021704443191,"Post"
"120",120,"Chum","BURMAN RIVER","CM",25,"Southwest Vancouver Island",2000,2231,"NONE",7.71020519443253,-0.626691160797867,8.88089777999241,0.925760989306353,"Post"
"121",121,"Chum","BURMAN RIVER","CM",25,"Southwest Vancouver Island",2001,12225,"NONE",9.41123831434307,1.09742730303666,8.92776984385665,1.13000329728907,"Post"
"122",122,"Chum","BURMAN RIVER","CM",25,"Southwest Vancouver Island",2002,25133,"NONE",10.1319370026405,1.82790685737967,8.95838712549844,1.2165372758078,"Post"
"123",123,"Chum","BURMAN RIVER","CM",25,"Southwest Vancouver Island",2003,4457,"NONE",8.40223117294656,0.0747265559082782,8.91390292109067,1.00885224801338,"Post"
"124",124,"Chum","BURMAN RIVER","CM",25,"Southwest Vancouver Island",2004,7450,"NONE",8.9159693113736,0.595436822904512,9.21534395032594,1.07053656318803,"Post"
