SpeciesId	StatArea.CU	CU_Name	Year	T_Idx_E	ExpFactor1	AdjSum	ExpFactor2	ObsE	ExpFactor3	TE	CDN.Harvest	CDN.ER	TRTC	Total.Harvest	Total.ER	Total.Run	Q1	Q2	Q3
CM	CM-007	Bute Inlet	1948	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-007	Bute Inlet	1949	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-007	Bute Inlet	1950	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-007	Bute Inlet	1951	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-007	Bute Inlet	1952	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-007	Bute Inlet	1953	NA	NA	NA	NA	NA	NA	25500	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-007	Bute Inlet	1954	NA	NA	NA	NA	NA	NA	18000	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-007	Bute Inlet	1955	NA	NA	NA	NA	NA	NA	7950	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-007	Bute Inlet	1956	NA	NA	NA	NA	NA	NA	4850	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-007	Bute Inlet	1957	NA	NA	NA	NA	NA	NA	89500	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-007	Bute Inlet	1958	NA	NA	NA	NA	NA	NA	20750	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-007	Bute Inlet	1959	NA	NA	NA	NA	NA	NA	16150	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-007	Bute Inlet	1960	NA	NA	NA	NA	NA	NA	5600	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-007	Bute Inlet	1961	NA	NA	NA	NA	NA	NA	8150	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-007	Bute Inlet	1962	NA	NA	NA	NA	NA	NA	8500	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-007	Bute Inlet	1963	NA	NA	NA	NA	NA	NA	8150	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-007	Bute Inlet	1964	NA	NA	NA	NA	NA	NA	23446.18425	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-007	Bute Inlet	1965	NA	NA	NA	NA	NA	NA	2662.012185	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-007	Bute Inlet	1966	NA	NA	NA	NA	NA	NA	12150	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-007	Bute Inlet	1967	NA	NA	NA	NA	NA	NA	11275	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-007	Bute Inlet	1968	NA	NA	NA	NA	NA	NA	19146.01072	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-007	Bute Inlet	1969	NA	NA	NA	NA	NA	NA	7998.941498	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-007	Bute Inlet	1970	NA	NA	NA	NA	NA	NA	11225	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-007	Bute Inlet	1971	NA	NA	NA	NA	NA	NA	5194.117856	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-007	Bute Inlet	1972	NA	NA	NA	NA	NA	NA	155823.5357	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-007	Bute Inlet	1973	NA	NA	NA	NA	NA	NA	44150.00177	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-007	Bute Inlet	1974	NA	NA	NA	NA	NA	NA	43718.43089	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-007	Bute Inlet	1975	NA	NA	NA	NA	NA	NA	7271.764998	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-007	Bute Inlet	1976	NA	NA	NA	NA	NA	NA	15582.35357	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-007	Bute Inlet	1977	NA	NA	NA	NA	NA	NA	88300.00355	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-007	Bute Inlet	1978	NA	NA	NA	NA	NA	NA	176600.0071	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-007	Bute Inlet	1979	NA	NA	NA	NA	NA	NA	36358.82499	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-007	Bute Inlet	1980	NA	NA	NA	NA	NA	NA	148483.9681	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-007	Bute Inlet	1981	NA	NA	NA	NA	NA	NA	131151.4759	NA	NA	NA	NA	NA	NA	NA	NA	NA
CM	CM-007	Bute Inlet	1982	NA	NA	NA	NA	NA	NA	207764.7142	NA	NA	NA	NA	NA	NA	NA	NA	NA
