source_stream,destination_stream,distance_m,distance_km
AALTANHASH RIVER,BRIM RIVER,140391,140.39
AALTANHASH RIVER,KILDALA RIVER,139582,139.58
AALTANHASH RIVER,FOCH RIVER,134060,134.06
AALTANHASH RIVER,KILTUISH RIVER,134338,134.34
AALTANHASH RIVER,GILTTOYEES CREEK,134085,134.09
AALTANHASH RIVER,KEMANO RIVER,154407,154.41
AALTANHASH RIVER,SCOW BAY CREEK,35168,35.17
AALTANHASH RIVER,KITIMAT RIVER,132200,132.2
AALTANHASH RIVER,DALA RIVER,137738,137.74
AALTANHASH RIVER,MARSHALL CREEK,17472,17.47
AALTANHASH RIVER,WATHL CREEK,131074,131.07
AALTANHASH RIVER,PIKE CREEK,94087,94.09
AALTANHASH RIVER,DOME CREEK,2907,2.91
AALTANHASH RIVER,QUAAL RIVER,147413,147.41
AALTANHASH RIVER,BISH CREEK,122988,122.99
AALTANHASH RIVER,WEEWANIE CREEK,95763,95.76
AALTANHASH RIVER,KITKIATA CREEK,145397,145.4
AALTANHASH RIVER,EVELYN CREEK,72491,72.49
AALTANHASH RIVER,KLEKANE RIVER,37721,37.72
AALTANHASH RIVER,KHUTZE RIVER,23165,23.16
AALTANHASH RIVER,CRAB RIVER,98665,98.66
AALTANHASH RIVER,MARMOT COVE CREEK,30823,30.82
AALTANHASH RIVER,HUGH CREEK,99337,99.34
BISH CREEK,QUAAL RIVER,56332,56.33
BISH CREEK,MARSHALL CREEK,123792,123.79
BISH CREEK,KEMANO RIVER,102515,102.52
BISH CREEK,EVELYN CREEK,55557,55.56
BISH CREEK,DOME CREEK,122892,122.89
BISH CREEK,FOCH RIVER,42979,42.98
BISH CREEK,GILTTOYEES CREEK,43004,43
BISH CREEK,KILTUISH RIVER,82446,82.45
BISH CREEK,KITIMAT RIVER,11998,12
BISH CREEK,WATHL CREEK,10872,10.87
BISH CREEK,KITKIATA CREEK,54316,54.32
BISH CREEK,KHUTZE RIVER,129485,129.49
BISH CREEK,KILDALA RIVER,24934,24.93
BISH CREEK,DALA RIVER,23091,23.09
BISH CREEK,MARMOT COVE CREEK,108535,108.53
BISH CREEK,HUGH CREEK,27900,27.9
BISH CREEK,PIKE CREEK,32423,32.42
BISH CREEK,KLEKANE RIVER,115432,115.43
BISH CREEK,BRIM RIVER,88499,88.5
BISH CREEK,SCOW BAY CREEK,112879,112.88
BISH CREEK,AALTANHASH RIVER,122988,122.99
BISH CREEK,WEEWANIE CREEK,30771,30.77
BISH CREEK,CRAB RIVER,46773,46.77
BRIM RIVER,DOME CREEK,140295,140.29
BRIM RIVER,KITIMAT RIVER,97710,97.71
BRIM RIVER,HUGH CREEK,64847,64.85
BRIM RIVER,KITKIATA CREEK,110908,110.91
BRIM RIVER,EVELYN CREEK,72959,72.96
BRIM RIVER,KEMANO RIVER,21058,21.06
BRIM RIVER,AALTANHASH RIVER,140391,140.39
BRIM RIVER,MARSHALL CREEK,141195,141.19
BRIM RIVER,PIKE CREEK,59598,59.6
BRIM RIVER,FOCH RIVER,99570,99.57
BRIM RIVER,GILTTOYEES CREEK,99596,99.6
BRIM RIVER,MARMOT COVE CREEK,125937,125.94
BRIM RIVER,WATHL CREEK,96584,96.58
BRIM RIVER,KHUTZE RIVER,146887,146.89
BRIM RIVER,KLEKANE RIVER,132835,132.83
BRIM RIVER,KILDALA RIVER,105092,105.09
BRIM RIVER,CRAB RIVER,45122,45.12
