"","Year","SYS_NM","prepost","escapement","r3","r4","r5","recruits","rps","logrps","exclude","rpsclean","logrpsclean"
"1",1950,"BRODICK CREEK","Pre",NA,NA,NA,NA,0,NA,NA,"Y",NA,NA
"2",1951,"BRODICK CREEK","Pre",NA,NA,NA,NA,0,NA,NA,"Y",NA,NA
"3",1952,"BRODICK CREEK","Pre",NA,NA,NA,NA,0,NA,NA,"Y",NA,NA
"4",1953,"BRODICK CREEK","Pre",3500,NA,NA,NA,0,NA,NA,"Y",NA,NA
"5",1954,"BRODICK CREEK","Pre",2500,NA,NA,24.3794857614592,24.3794857614592,0.00975179430458367,-4.6303039796647,"Y",NA,NA
"6",1955,"BRODICK CREEK","Pre",75,NA,670.287356577673,26.3581753767065,696.64553195438,9.28860709272506,2.22878860538667,"Y",NA,NA
"7",1956,"BRODICK CREEK","Pre",200,753.92114384824,1705.11799657742,0.56462267151464,2459.60376309718,12.2980188154859,2.50943817749318,"N",12.2980188154859,2.50943817749318
"8",1957,"BRODICK CREEK","Pre",750,3796.08266658813,32.5396409899282,10.6929675008557,3839.31527507891,5.11908703343855,1.63297610937009,"N",5.11908703343855,1.63297610937009
"9",1958,"BRODICK CREEK","Pre",1500,14.2570929509056,548.557875591964,5.2084897181994,568.023458261069,0.378682305507379,-0.971057669466559,"N",0.378682305507379,-0.971057669466559
"10",1959,"BRODICK CREEK","Pre",750,558.273105757112,208.827359507193,NA,767.100465264305,1.02280062035241,0.0225445709583781,"Y",NA,NA
"11",1960,"BRODICK CREEK","Pre",3500,342.303156053179,NA,NA,342.303156053179,0.0978009017294796,-2.32482148184604,"Y",NA,NA
"12",1961,"BRODICK CREEK","Pre",25,NA,NA,NA,0,NA,NA,"Y",NA,NA
"13",1962,"BRODICK CREEK","Pre",750,NA,NA,NA,0,NA,NA,"Y",NA,NA
"14",1963,"BRODICK CREEK","Pre",400,NA,NA,NA,0,NA,NA,"Y",NA,NA
"15",1964,"BRODICK CREEK","Pre",3500,NA,NA,0,0,NA,NA,"Y",NA,NA
"16",1965,"BRODICK CREEK","Pre",400,NA,51.6667505477358,6.79393580150109,58.4606863492369,0.146151715873092,-1.92311004700053,"Y",NA,NA
"17",1966,"BRODICK CREEK","Pre",1500,23.75380791109,386.397122259903,12.1375301800088,422.288460351002,0.281525640234001,-1.2675317512377,"N",0.281525640234001,-1.2675317512377
"18",1967,"BRODICK CREEK","Pre",750,214.526925453947,151.512344631121,22.8438532986221,388.88312338369,0.518510831178253,-0.656794362083769,"N",0.518510831178253,-0.656794362083769
"19",1968,"BRODICK CREEK","Pre",750,104.298012186532,828.53963839916,356.697326004267,1289.53497658996,1.71937996878661,0.541963742572053,"N",1.71937996878661,0.541963742572053
"20",1969,"BRODICK CREEK","Pre",75,100.227316920079,1528.83054533736,203.539406569722,1832.59726882716,24.4346302510288,3.19600139866692,"N",24.4346302510288,3.19600139866692
"21",1970,"BRODICK CREEK","Pre",500,291.715224763604,616.529002351964,15.2113680739884,923.455595189557,1.84691119037911,0.613514616887878,"N",1.84691119037911,0.613514616887878
"22",1971,"BRODICK CREEK","Pre",200,268.581577292158,189.815336338444,18.2554682535924,476.652381884195,2.38326190942098,0.86847009951364,"N",2.38326190942098,0.86847009951364
"23",1972,"BRODICK CREEK","Pre",750,53.5926712931712,443.37099931899,3.92258031390063,500.886250926062,0.667848334568082,-0.403694175283653,"N",0.667848334568082,-0.403694175283653
"24",1973,"BRODICK CREEK","Pre",1500,58.4581781277184,54.2746412731473,8.95605926669503,121.688878667561,0.0811259191117071,-2.51175277444786,"N",0.0811259191117071,-2.51175277444786
"25",1974,"BRODICK CREEK","Pre",750,43.1397221843228,492.584723018406,30.4692474965257,566.193692699255,0.754924923599007,-0.281136973619205,"N",0.754924923599007,-0.281136973619205
"26",1975,"BRODICK CREEK","Pre",200,67.4134089911928,111.475986622977,8.74266167377554,187.632057287945,0.938160286439727,-0.0638344635086118,"N",0.938160286439727,-0.0638344635086118
"27",1976,"BRODICK CREEK","Pre",400,106.102144100322,379.213260811509,NA,485.315404911831,1.21328851227958,0.193334451869306,"Y",NA,NA
