"","SYS_NM","Post","Pre"
"1","AALTANHASH RIVER",34,24
"2","ARNOUP CREEK",36,27
"3","BARNARD CREEK",37,28
"4","BISH CREEK",76,56
"5","BLACK ROCK CREEK",24,28
"6","BLEE CREEK",33,26
"7","BLOOMFIELD CREEK",31,21
"8","BRIM RIVER",36,22
"9","CRAB RIVER",36,26
"10","DALA RIVER",38,29
"11","DALLY CREEK",25,18
"12","EAGLE CREEK",23,29
"13","EAST ARM CREEK",32,20
"14","EVELYN CREEK",38,26
"15","FLUX CREEK",26,18
"16","FOCH RIVER",39,28
"17","GABION RIVER",30,20
"18","GIL CREEK",30,17
"19","GILTTOYEES CREEK",21,29
"20","GREEN RIVER",38,29
"21","HEAD CREEK",28,28
"22","HIRSCH CREEK",20,20
"23","HUGH CREEK",39,24
"24","HUMPHRYS CREEK",20,21
"25","KEMANO RIVER",39,28
"26","KHUTZE RIVER",37,29
"27","KILDALA RIVER",21,28
"28","KILTUISH RIVER",39,29
"29","KISKOSH CREEK",38,20
"30","KITIMAT RIVER",29,29
"31","KITKIATA CREEK",28,26
"32","KLEKANE RIVER",27,21
"33","LITTLE CREEK",33,27
"34","LITTLE WEDEENE RIVER",20,21
"35","MARMOT COVE CREEK",26,23
"36","MARSHALL CREEK",28,24
"37","NIAS CREEK",35,25
"38","PACKE CREEK",20,21
"39","PIKE CREEK",21,19
"40","POWLES CREEK",21,25
"41","PRICE CREEK",23,29
"42","PYNE CREEK",30,25
"43","QUAAL RIVER",39,29
"44","RONALD CREEK",22,20
"45","SCOW BAY CREEK",36,29
"46","SODA CREEK",33,28
"47","STANNARD CREEK",25,25
"48","TURN CREEK",34,27
"49","TURTLE CREEK",31,20
"50","TYLER CREEK",37,26
"51","WATHL CREEK",30,24
"52","WEEWANIE CREEK",39,26
