"","SPECIES","SYS_NM","SPP","Area","CU_name","Year","escapement","Enhancement_Rank","esc.log","z","m.ave","esc.stand","prepost"
"1","Chum","DEAN RIVER","CM","8","Bella Coola-Dean Rivers",1950,15000,"NONE",9.61580548008435,1.31968349039883,NA,1.31412192789034,"Pre"
"2","Chum","DEAN RIVER","CM","8","Bella Coola-Dean Rivers",1951,13000,"NONE",9.47270463644367,1.23752286880405,NA,1.29456538040014,"Pre"
"3","Chum","DEAN RIVER","CM","8","Bella Coola-Dean Rivers",1952,20000,"NONE",9.90348755253613,1.48485468920506,NA,1.35343733630338,"Pre"
"4","Chum","DEAN RIVER","CM","8","Bella Coola-Dean Rivers",1953,25000,"NONE",10.1266311038503,1.61297142432982,9.77965719322862,1.38393273624222,"Pre"
"5","Chum","DEAN RIVER","CM","8","Bella Coola-Dean Rivers",1954,10000,"NONE",9.21034037197618,1.08688776069083,9.67829091620158,1.25870997195353,"Pre"
"6","Chum","DEAN RIVER","CM","8","Bella Coola-Dean Rivers",1955,5000,"NONE",8.51719319141624,0.688920832176608,9.43941305494472,1.16398260760369,"Pre"
"7","Chum","DEAN RIVER","CM","8","Bella Coola-Dean Rivers",1956,3500,"NONE",8.1605182474775,0.484137727089728,9.00367072868007,1.11523844717638,"Pre"
"8","Chum","DEAN RIVER","CM","8","Bella Coola-Dean Rivers",1957,7500,"NONE",8.9226582995244,0.921716561884606,8.70267752759858,1.21939456354049,"Pre"
"9","Chum","DEAN RIVER","CM","8","Bella Coola-Dean Rivers",1958,3500,"NONE",8.1605182474775,0.484137727089728,8.44022199647391,1.11523844717638,"Pre"
"10","Chum","DEAN RIVER","CM","8","Bella Coola-Dean Rivers",1959,7500,"NONE",8.9226582995244,0.921716561884606,8.54158827350095,1.21939456354049,"Pre"
"11","Chum","DEAN RIVER","CM","8","Bella Coola-Dean Rivers",1960,3500,"NONE",8.1605182474775,0.484137727089728,8.54158827350095,1.11523844717638,"Pre"
"12","Chum","DEAN RIVER","CM","8","Bella Coola-Dean Rivers",1961,15500,"NONE",9.64859530290734,1.33850960041035,8.72307252434669,1.31860307356998,"Pre"
"13","Chum","DEAN RIVER","CM","8","Bella Coola-Dean Rivers",1962,15000,"NONE",9.61580548008435,1.31968349039883,9.0868943324984,1.31412192789034,"Pre"
"14","Chum","DEAN RIVER","CM","8","Bella Coola-Dean Rivers",1963,NA,"NONE",NA,NA,NA,NA,"Pre"
"15","Chum","DEAN RIVER","CM","8","Bella Coola-Dean Rivers",1964,NA,"NONE",NA,NA,NA,NA,"Pre"
"16","Chum","DEAN RIVER","CM","8","Bella Coola-Dean Rivers",1965,1500,"NONE",7.3132203870903,-0.00233403026860523,NA,0.999444434901957,"Pre"
"17","Chum","DEAN RIVER","CM","8","Bella Coola-Dean Rivers",1966,7500,"NONE",8.9226582995244,0.921716561884606,NA,1.21939456354049,"Pre"
"18","Chum","DEAN RIVER","CM","8","Bella Coola-Dean Rivers",1967,2000,"NONE",7.60090245954208,0.162837168537621,NA,1.03875984331499,"Pre"
"19","Chum","DEAN RIVER","CM","8","Bella Coola-Dean Rivers",1968,7500,"NONE",8.9226582995244,0.921716561884606,8.1898598614203,1.21939456354049,"Pre"
"20","Chum","DEAN RIVER","CM","8","Bella Coola-Dean Rivers",1969,1500,"NONE",7.3132203870903,-0.00233403026860523,8.1898598614203,0.999444434901957,"Pre"
"21","Chum","DEAN RIVER","CM","8","Bella Coola-Dean Rivers",1970,7500,"NONE",8.9226582995244,0.921716561884606,8.1898598614203,1.21939456354049,"Pre"
"22","Chum","DEAN RIVER","CM","8","Bella Coola-Dean Rivers",1971,1800,"NONE",7.49554194388426,0.102344964314634,8.16351973250584,1.02436099089992,"Pre"
"23","Chum","DEAN RIVER","CM","8","Bella Coola-Dean Rivers",1972,3500,"NONE",8.1605182474775,0.484137727089728,7.97298471949412,1.11523844717638,"Pre"
"24","Chum","DEAN RIVER","CM","8","Bella Coola-Dean Rivers",1973,3500,"NONE",8.1605182474775,0.484137727089728,8.18480918459092,1.11523844717638,"Pre"
"25","Chum","DEAN RIVER","CM","8","Bella Coola-Dean Rivers",1974,3500,"NONE",8.1605182474775,0.484137727089728,7.99427417157919,1.11523844717638,"Pre"
"26","Chum","DEAN RIVER","CM","8","Bella Coola-Dean Rivers",1975,3500,"NONE",8.1605182474775,0.484137727089728,8.1605182474775,1.11523844717638,"Pre"
"27","Chum","DEAN RIVER","CM","8","Bella Coola-Dean Rivers",1976,2000,"NONE",7.60090245954208,0.162837168537621,8.02061430049365,1.03875984331499,"Pre"
"28","Chum","DEAN RIVER","CM","8","Bella Coola-Dean Rivers",1977,3500,"NONE",8.1605182474775,0.484137727089728,8.02061430049365,1.11523844717638,"Pre"
"29","Chum","DEAN RIVER","CM","8","Bella Coola-Dean Rivers",1978,1500,"NONE",7.3132203870903,-0.00233403026860523,7.80878983539685,0.999444434901957,"Pre"
"30","Chum","DEAN RIVER","CM","8","Bella Coola-Dean Rivers",1979,1000,"NONE",6.90775527898214,-0.235129759976605,7.49559909327301,0.944032478965148,"Pre"
"31","Chum","DEAN RIVER","CM","8","Bella Coola-Dean Rivers",1980,1000,"NONE",6.90775527898214,-0.235129759976605,7.32231229813302,0.944032478965148,"Post"
"32","Chum","DEAN RIVER","CM","8","Bella Coola-Dean Rivers",1981,NA,"NONE",NA,NA,NA,NA,"Post"
"33","Chum","DEAN RIVER","CM","8","Bella Coola-Dean Rivers",1982,NA,"NONE",NA,NA,NA,NA,"Post"
"34","Chum","DEAN RIVER","CM","8","Bella Coola-Dean Rivers",1983,200,"NONE",5.29831736654804,-1.15918035212982,NA,0.72408235032661,"Post"
"35","Chum","DEAN RIVER","CM","8","Bella Coola-Dean Rivers",1984,100,"NONE",4.60517018598809,-1.55714728064404,NA,0.629354985976765,"Post"
"36","Chum","DEAN RIVER","CM","8","Bella Coola-Dean Rivers",1985,200,"NONE",5.29831736654804,-1.15918035212982,NA,0.72408235032661,"Post"
"37","Chum","DEAN RIVER","CM","8","Bella Coola-Dean Rivers",1986,150,"NONE",5.01063529409626,-1.32435155093604,5.05311005329511,0.684766941913575,"Post"
"38","Chum","DEAN RIVER","CM","8","Bella Coola-Dean Rivers",1987,170,"NONE",5.13579843705026,-1.25248976896305,5.01248032092066,0.701872074817957,"Post"
"39","Chum","DEAN RIVER","CM","8","Bella Coola-Dean Rivers",1988,100,"NONE",4.60517018598809,-1.55714728064404,5.01248032092066,0.629354985976765,"Post"
"40","Chum","DEAN RIVER","CM","8","Bella Coola-Dean Rivers",1989,70,"NONE",4.24849524204936,-1.76193038573092,4.75002478979599,0.580610825549465,"Post"
"41","Chum","DEAN RIVER","CM","8","Bella Coola-Dean Rivers",1990,75,"NONE",4.31748811353631,-1.72231847945027,4.57673799465601,0.590039577563729,"Post"
"42","Chum","DEAN RIVER","CM","8","Bella Coola-Dean Rivers",1991,25,"NONE",3.2188758248682,-2.35308113767249,4.09750734161049,0.439900257277075,"Post"
"43","Chum","DEAN RIVER","CM","8","Bella Coola-Dean Rivers",1992,30,"NONE",3.40119738166216,-2.24840214308925,3.79651414052901,0.464816813275037,"Post"
"44","Chum","DEAN RIVER","CM","8","Bella Coola-Dean Rivers",1993,50,"NONE",3.91202300542815,-1.95511420915827,3.7123960813737,0.53462762162692,"Post"
"45","Chum","DEAN RIVER","CM","8","Bella Coola-Dean Rivers",1994,NA,"NONE",NA,NA,NA,NA,"Post"
"46","Chum","DEAN RIVER","CM","8","Bella Coola-Dean Rivers",1995,NA,"NONE",NA,NA,NA,NA,"Post"
"47","Chum","DEAN RIVER","CM","8","Bella Coola-Dean Rivers",1996,300,"NONE",5.7037824746562,-0.926384622421817,NA,0.77949430626342,"Post"
"48","Chum","DEAN RIVER","CM","8","Bella Coola-Dean Rivers",1997,NA,"NONE",NA,NA,NA,NA,"Post"
"49","Chum","DEAN RIVER","CM","8","Bella Coola-Dean Rivers",1998,2000,"NONE",7.60090245954208,0.162837168537621,NA,1.03875984331499,"Post"
"50","Chum","DEAN RIVER","CM","8","Bella Coola-Dean Rivers",1999,3000,"NONE",8.00636756765025,0.39563289824562,NA,1.0941717992518,"Post"
"51","Chum","DEAN RIVER","CM","8","Bella Coola-Dean Rivers",2000,2000,"NONE",7.60090245954208,0.162837168537621,NA,1.03875984331499,"Post"
"52","Chum","DEAN RIVER","CM","8","Bella Coola-Dean Rivers",2001,4100,"NONE",8.3187422526924,0.57498123498905,7.8817286848567,1.13686176674147,"Post"
"53","Chum","DEAN RIVER","CM","8","Bella Coola-Dean Rivers",2002,2700,"NONE",7.90100705199242,0.335140694022633,7.95675483296929,1.07977294683673,"Post"
"54","Chum","DEAN RIVER","CM","8","Bella Coola-Dean Rivers",2003,6000,"NONE",8.69951474821019,0.793599826759846,8.13004162810927,1.18889916360165,"Post"
"55","Chum","DEAN RIVER","CM","8","Bella Coola-Dean Rivers",2004,1000,"NONE",6.90775527898214,-0.235129759976605,7.95675483296929,0.944032478965148,"Post"
"56","Chum","DEAN RIVER","CM","8","Bella Coola-Dean Rivers",2005,600,"NONE",6.39692965521615,-0.528417693907591,7.47630168360022,0.874221670613265,"Post"
"57","Chum","DEAN RIVER","CM","8","Bella Coola-Dean Rivers",2006,1300,"NONE",7.17011954344963,-0.0844946518633837,7.29357980646453,0.979887887411755,"Post"
"58","Chum","DEAN RIVER","CM","8","Bella Coola-Dean Rivers",2007,6200,"NONE",8.73230457103318,0.812425936771359,7.30177726217027,1.19338030928129,"Post"
"59","Chum","DEAN RIVER","CM","8","Bella Coola-Dean Rivers",2008,750,"NONE",6.62007320653036,-0.400300958782831,7.22985674405733,0.904717070552112,"Post"
"60","Chum","DEAN RIVER","CM","8","Bella Coola-Dean Rivers",2009,200,"NONE",5.29831736654804,-1.15918035212982,6.9552036718903,0.72408235032661,"Post"
"61","Chum","DEAN RIVER","CM","8","Bella Coola-Dean Rivers",2010,400,"NONE",5.99146454710798,-0.76121342361559,6.66053992280489,0.818809714676456,"Post"
"62","Chum","DEAN RIVER","CM","8","Bella Coola-Dean Rivers",2011,8500,"NONE",9.04782144247841,0.993578343857598,6.7394191406662,1.23649969644488,"Post"
"63","Chum","DEAN RIVER","CM","8","Bella Coola-Dean Rivers",2012,2500,"NONE",7.82404601085629,0.290953903662381,7.04041234174768,1.06925524325384,"Post"
"64","Chum","DEAN RIVER","CM","8","Bella Coola-Dean Rivers",2013,2500,"NONE",7.82404601085629,0.290953903662381,7.67184450282474,1.06925524325384,"Post"
"65","Chum","DEAN RIVER","CM","8","Bella Coola-Dean Rivers",2014,550,"NONE",6.30991827822652,-0.578374833484186,7.75145793560438,0.86233046100895,"Post"
"66","Chum","DEAN RIVER","CM","8","Bella Coola-Dean Rivers",2015,NA,"NONE",NA,NA,NA,NA,"Post"
"67","Chum","DEAN RIVER","CM","8","Bella Coola-Dean Rivers",2016,NA,"NONE",NA,NA,NA,NA,"Post"
"68","Chum","DEAN RIVER","CM","8","Bella Coola-Dean Rivers",2017,520,"NONE",6.25382881157547,-0.610578315502369,NA,0.854665123123063,"Post"
"69","Chum","DEAN RIVER","CM","8","Bella Coola-Dean Rivers",2018,NA,"NONE",NA,NA,NA,NA,"Post"
"70","Chum","ELCHO CREEK","CM","8","Spiller-Fitz Hugh-Burke",1950,15000,"NONE",9.61580548008435,0.781255574242247,NA,1.07242272197761,"Pre"
"71","Chum","ELCHO CREEK","CM","8","Spiller-Fitz Hugh-Burke",1951,17500,"NONE",9.76995615991161,0.966712931801176,NA,1.08961469741819,"Pre"
"72","Chum","ELCHO CREEK","CM","8","Spiller-Fitz Hugh-Burke",1952,20000,"NONE",9.90348755253613,1.12736340220493,NA,1.10450706393335,"Pre"
"73","Chum","ELCHO CREEK","CM","8","Spiller-Fitz Hugh-Burke",1953,25000,"NONE",10.1266311038503,1.39582549026982,9.8539700740956,1.12939361297885,"Pre"
"74","Chum","ELCHO CREEK","CM","8","Spiller-Fitz Hugh-Burke",1954,10000,"NONE",9.21034037197618,0.293443988744532,9.75260379706856,1.02720238179863,"Pre"
"75","Chum","ELCHO CREEK","CM","8","Spiller-Fitz Hugh-Burke",1955,600,"NONE",6.39692965521615,-3.09134625572914,8.9093471708947,0.713430895347731,"Pre"
"76","Chum","ELCHO CREEK","CM","8","Spiller-Fitz Hugh-Burke",1956,15000,"NONE",9.61580548008435,0.781255574242247,8.83742665278175,1.07242272197761,"Pre"
"77","Chum","ELCHO CREEK","CM","8","Spiller-Fitz Hugh-Burke",1957,750,"NONE",6.62007320653036,-2.82288416766425,7.96078717845176,0.738317444393233,"Pre"
"78","Chum","ELCHO CREEK","CM","8","Spiller-Fitz Hugh-Burke",1958,3500,"NONE",8.1605182474775,-0.969587983184519,7.69833164732709,0.910118784103254,"Pre"
"79","Chum","ELCHO CREEK","CM","8","Spiller-Fitz Hugh-Burke",1959,1500,"NONE",7.3132203870903,-1.98896475420385,7.92740433029563,0.815622126527952,"Pre"
"80","Chum","ELCHO CREEK","CM","8","Spiller-Fitz Hugh-Burke",1960,3500,"NONE",8.1605182474775,-0.969587983184519,7.56358252214392,0.910118784103254,"Pre"
"81","Chum","ELCHO CREEK","CM","8","Spiller-Fitz Hugh-Burke",1961,1500,"NONE",7.3132203870903,-1.98896475420385,7.7368693172839,0.815622126527952,"Pre"
"82","Chum","ELCHO CREEK","CM","8","Spiller-Fitz Hugh-Burke",1962,15000,"NONE",9.61580548008435,0.781255574242247,8.10069112543561,1.07242272197761,"Pre"
"83","Chum","ELCHO CREEK","CM","8","Spiller-Fitz Hugh-Burke",1963,3500,"NONE",8.1605182474775,-0.969587983184519,8.31251559053242,0.910118784103254,"Pre"
"84","Chum","ELCHO CREEK","CM","8","Spiller-Fitz Hugh-Burke",1964,3500,"NONE",8.1605182474775,-0.969587983184519,8.31251559053242,0.910118784103254,"Pre"
"85","Chum","ELCHO CREEK","CM","8","Spiller-Fitz Hugh-Burke",1965,1500,"NONE",7.3132203870903,-1.98896475420385,8.31251559053242,0.815622126527952,"Pre"
"86","Chum","ELCHO CREEK","CM","8","Spiller-Fitz Hugh-Burke",1966,7500,"NONE",8.9226582995244,-0.0526638392181538,8.13922879539243,0.995118039842891,"Pre"
"87","Chum","ELCHO CREEK","CM","8","Spiller-Fitz Hugh-Burke",1967,3500,"NONE",8.1605182474775,-0.969587983184519,8.13922879539243,0.910118784103254,"Pre"
"88","Chum","ELCHO CREEK","CM","8","Spiller-Fitz Hugh-Burke",1968,7500,"NONE",8.9226582995244,-0.0526638392181538,8.32976380840415,0.995118039842891,"Pre"
"89","Chum","ELCHO CREEK","CM","8","Spiller-Fitz Hugh-Burke",1969,7500,"NONE",8.9226582995244,-0.0526638392181538,8.73212328651268,0.995118039842891,"Pre"
"90","Chum","ELCHO CREEK","CM","8","Spiller-Fitz Hugh-Burke",1970,7500,"NONE",8.9226582995244,-0.0526638392181538,8.73212328651268,0.995118039842891,"Pre"
"91","Chum","ELCHO CREEK","CM","8","Spiller-Fitz Hugh-Burke",1971,4000,"NONE",8.29404964010203,-0.808937512780763,8.76550613466881,0.925011150618409,"Pre"
"92","Chum","ELCHO CREEK","CM","8","Spiller-Fitz Hugh-Burke",1972,12500,"NONE",9.43348392329039,0.561906076809424,8.89321254061031,1.05208893084413,"Pre"
"93","Chum","ELCHO CREEK","CM","8","Spiller-Fitz Hugh-Burke",1973,15000,"NONE",9.61580548008435,0.781255574242247,9.06649933575029,1.07242272197761,"Pre"
"94","Chum","ELCHO CREEK","CM","8","Spiller-Fitz Hugh-Burke",1974,6000,"NONE",8.69951474821019,-0.321125927283048,9.01071344792174,0.970231490797388,"Pre"
"95","Chum","ELCHO CREEK","CM","8","Spiller-Fitz Hugh-Burke",1975,4000,"NONE",8.29404964010203,-0.808937512780763,9.01071344792174,0.925011150618409,"Pre"
"96","Chum","ELCHO CREEK","CM","8","Spiller-Fitz Hugh-Burke",1976,6000,"NONE",8.69951474821019,-0.321125927283048,8.82722115415169,0.970231490797388,"Pre"
