,SYS_NM,Post,Pre,inlet,subinlet
1,AALTANHASH RIVER,34,24,khutze,khutze
2,BISH CREEK,38,28,kitimat arm,kitimat arm
3,BRIM RIVER,36,22,kemano,kemano
4,CRAB RIVER,36,26,douglas,douglas
5,DALA RIVER,38,29,dala,dala
6,EVELYN CREEK,38,26,douglas,douglas
7,FOCH RIVER,39,28,douglas,douglas
8,GILTTOYEES CREEK,21,29,douglas,douglas
9,HEAD CREEK,28,28,,
10,HIRSCH CREEK,20,20,kitimat arm,kitimat arm
11,HUGH CREEK,39,24,douglas,douglas
12,HUMPHRYS CREEK,20,21,kitimat arm,kitimat arm
13,KEMANO RIVER,39,28,kemano,kemano
14,KHUTZE RIVER,37,29,khutze,khutze
15,KILDALA RIVER,21,28,dala,dala
16,KILTUISH RIVER,39,29,kemano,kemano
17,KITIMAT RIVER,29,29,kitimat arm,kitimat arm
18,KITKIATA CREEK,28,26,douglas,quaal
19,KLEKANE RIVER,27,21,khutze,khutze
20,LITTLE WEDEENE RIVER,20,21,kitimat arm,kitimat arm
21,MARMOT COVE CREEK,26,23,khutze,khutze
22,MARSHALL CREEK,28,24,khutze,khutze
23,PIKE CREEK,21,19,douglas,douglas
24,QUAAL RIVER,39,29,douglas,quaal
25,SCOW BAY CREEK,36,29,khutze,khutze
26,WATHL CREEK,30,24,kitimat arm,kitimat arm
27,WEEWANIE CREEK,39,26,douglas,douglas
