"","RELEASE_YEAR","BC","BC/MB","MB"
"1",1979,77550,77550,NA
"2",1980,1175000,1175000,NA
"3",1981,2298300,2298300,NA
"4",1982,2132976,2650976,518000
"5",1983,2319517,2739517,420000
"6",1984,5082922,5163511,80589
"7",1985,7303968,8365677,1061709
"8",1986,6913385,8123595,1210210
"9",1987,6550294,6762846,212552
"10",1988,6523650,7626986,1103336
"11",1989,6745338,8029816,1284478
"12",1990,7444203,8564850,1120647
"13",1991,6611935,7098464,486529
"14",1992,6180202,6801850,621648
"15",1993,7191671,8310835,1119164
"16",1994,7518138,7998210,480072
"17",1995,6692459,7770814,1078355
"18",1996,6788026,7737048,949022
"19",1997,6626678,7440040,813362
"20",1998,6613988,7622346,1008358
"21",1999,6521216,6991473,470257
"22",2000,6356877,7372178,1015301
"23",2001,6466673,7396347,929674
"24",2002,6860828,7940436,1079608
"25",2003,7214605,7864976,650371
"26",2004,6890772,7458729,567957
"27",2005,6599170,7790635,1191465
"28",2006,7327717,8342717,1015000
"29",2007,6772081,8029214,1257133
"30",2008,7100212,8130568,1030356
"31",2009,7513065,9106757,1593692
"32",2010,6008814,8155412,2146598
"33",2011,4286847,5626016,1339169
"34",2012,6872727,8784247,1911520
"35",2013,4204007,6057948,1853941
"36",2014,6679176,8480822,1801646
"37",2015,6850294,7949150,1098856
"38",2016,5184571,6159677,975106
"39",2017,5285914,6797889,1511975
"40",2018,5124114,6354192,1230078
"41",2019,4102583,5117708,1015125
"42",2020,5241218,5710492,469274
