"","SPECIES_NAME","REL_CU_NAME","REL_CU_INDEX","STOCK_NAME","RELEASE_SITE_NAME","FACILITY_NAME","RELEASE_STAGE_NAME","RELEASE_YEAR","releases","n","site-stock","grp"
"1","Chum","BELLA COOLA RIVER-LATE","CM-17","Bella Coola R Low","Bella Coola R","Bella Coola River H","Unfed",1984,42000,1,"Bella Coola R:Bella Coola R Low",1
"2","Chum","BELLA COOLA RIVER-LATE","CM-17","Bella Coola R Low","Bella Coola R","Bella Coola River H","Unfed",1985,2700,1,"Bella Coola R:Bella Coola R Low",1
"3","Chum","BELLA COOLA RIVER-LATE","CM-17","Fish Cr","Fish Cr","Snootli Creek H","Fed Fry",1980,699000,1,"Fish Cr:Fish Cr",2
"4","Chum","BELLA COOLA RIVER-LATE","CM-17","Fish Cr+Airport Ch","Fish Cr","Snootli Creek H","Fed Fry",1983,25000,1,"Fish Cr:Fish Cr+Airport Ch",3
"5","Chum","BELLA COOLA RIVER-LATE","CM-17","Fish Cr+Airport Ch","Fish Cr+Airport Ch","Snootli Creek H","Fed Fry",1981,543800,2,"Fish Cr+Airport Ch:Fish Cr+Airport Ch",4
"6","Chum","BELLA COOLA RIVER-LATE","CM-17","Fish Cr+Airport Ch","Fish Cr+Airport Ch","Snootli Creek H","Fed Fry",1982,486459,2,"Fish Cr+Airport Ch:Fish Cr+Airport Ch",4
"7","Chum","BELLA COOLA RIVER-LATE","CM-17","Fish Cr+Airport Ch","Fish Cr+Airport Ch","Snootli Creek H","Fed Fry",1984,1628763,1,"Fish Cr+Airport Ch:Fish Cr+Airport Ch",5
"8","Chum","BELLA COOLA RIVER-LATE","CM-17","Fish Cr+Airport Ch","Fish Cr+Airport Ch","Snootli Creek H","Fed Fry",1985,2509540,2,"Fish Cr+Airport Ch:Fish Cr+Airport Ch",5
"9","Chum","BELLA COOLA RIVER-LATE","CM-17","Fish Cr+Airport Ch","Fish Cr+Airport Ch","Snootli Creek H","Fed Fry",1986,1879074,3,"Fish Cr+Airport Ch:Fish Cr+Airport Ch",5
"10","Chum","BELLA COOLA RIVER-LATE","CM-17","Fish Cr+Airport Ch","Fish Cr+Airport Ch","Snootli Creek H","Fed Fry",1987,1821029,3,"Fish Cr+Airport Ch:Fish Cr+Airport Ch",5
"11","Chum","BELLA COOLA RIVER-LATE","CM-17","Fish Cr+Airport Ch","Fish Cr+Airport Ch","Snootli Creek H","Fed Fry",1988,1947442,3,"Fish Cr+Airport Ch:Fish Cr+Airport Ch",5
"12","Chum","BELLA COOLA RIVER-LATE","CM-17","Fish Cr+Airport Ch","Fish Cr+Airport Ch","Snootli Creek H","Fed Fry",1989,1854367,3,"Fish Cr+Airport Ch:Fish Cr+Airport Ch",5
"13","Chum","BELLA COOLA RIVER-LATE","CM-17","Fish Cr+Airport Ch","Fish Cr+Airport Ch","Snootli Creek H","Fed Fry",1990,1858549,3,"Fish Cr+Airport Ch:Fish Cr+Airport Ch",5
"14","Chum","BELLA COOLA RIVER-LATE","CM-17","Fish Cr+Airport Ch","Fish Cr+Airport Ch","Snootli Creek H","Fed Fry",1991,1920162,3,"Fish Cr+Airport Ch:Fish Cr+Airport Ch",5
"15","Chum","BELLA COOLA RIVER-LATE","CM-17","Fish Cr+Airport Ch","Fish Cr+Airport Ch","Snootli Creek H","Fed Fry",1992,1912803,3,"Fish Cr+Airport Ch:Fish Cr+Airport Ch",5
"16","Chum","BELLA COOLA RIVER-LATE","CM-17","Fish Cr+Airport Ch","Fish Cr+Airport Ch","Snootli Creek H","Fed Fry",1993,1820210,3,"Fish Cr+Airport Ch:Fish Cr+Airport Ch",5
"17","Chum","BELLA COOLA RIVER-LATE","CM-17","Fish Cr+Airport Ch","Fish Cr+Airport Ch","Snootli Creek H","Fed Fry",1994,1932920,2,"Fish Cr+Airport Ch:Fish Cr+Airport Ch",5
"18","Chum","BELLA COOLA RIVER-LATE","CM-17","Fish Cr+Airport Ch","Fish Cr+Airport Ch","Snootli Creek H","Fed Fry",1995,1704439,2,"Fish Cr+Airport Ch:Fish Cr+Airport Ch",5
