"","RELEASE_YEAR","totreleases"
"1",1979,77550
"2",1980,1175000
"3",1981,2298300
"4",1982,2132976
"5",1983,2319517
"6",1984,5082922
"7",1985,7303968
"8",1986,6913385
"9",1987,6550294
"10",1988,6523650
"11",1989,6745338
"12",1990,7444203
"13",1991,6611935
"14",1992,6180202
"15",1993,7191671
"16",1994,7518138
"17",1995,6692459
"18",1996,6788026
"19",1997,6626678
"20",1998,6613988
"21",1999,6521216
"22",2000,6356877
"23",2001,6466673
"24",2002,6860828
"25",2003,7214605
"26",2004,6890772
"27",2005,6599170
"28",2006,7327717
"29",2007,6772081
"30",2008,7100212
"31",2009,7513065
"32",2010,6008814
"33",2011,4286847
"34",2012,6872727
"35",2013,4204007
"36",2014,6679176
"37",2015,6850294
"38",2016,5184571
"39",2017,5285914
"40",2018,5124114
"41",2019,4102583
"42",2020,5241218
