"","SPP","SYS_NM","Area","escapement","Year","Enhancement_Rank"
"1","CM","CLEMENS CREEK","23",NA,1950,"NONE"
"2","CM","CLEMENS CREEK","23",NA,1951,"NONE"
"3","CM","CLEMENS CREEK","23",NA,1952,"NONE"
"4","CM","CLEMENS CREEK","23",NA,1953,"NONE"
"5","CM","CLEMENS CREEK","23",NA,1954,"NONE"
"6","CM","CLEMENS CREEK","23",NA,1955,"NONE"
"7","CM","CLEMENS CREEK","23",NA,1956,"NONE"
"8","CM","CLEMENS CREEK","23",NA,1957,"NONE"
"9","CM","CLEMENS CREEK","23",NA,1958,"NONE"
"10","CM","CLEMENS CREEK","23",NA,1959,"NONE"
"11","CM","CLEMENS CREEK","23",NA,1960,"NONE"
"12","CM","CLEMENS CREEK","23",NA,1961,"NONE"
"13","CM","CLEMENS CREEK","23",NA,1962,"NONE"
"14","CM","CLEMENS CREEK","23",NA,1963,"NONE"
"15","CM","CLEMENS CREEK","23",NA,1964,"NONE"
"16","CM","CLEMENS CREEK","23",NA,1965,"NONE"
"17","CM","CLEMENS CREEK","23",NA,1966,"NONE"
"18","CM","CLEMENS CREEK","23",NA,1967,"NONE"
"19","CM","CLEMENS CREEK","23",NA,1968,"NONE"
"20","CM","CLEMENS CREEK","23",NA,1969,"NONE"
"21","CM","CLEMENS CREEK","23",NA,1970,"NONE"
"22","CM","CLEMENS CREEK","23",NA,1971,"NONE"
"23","CM","CLEMENS CREEK","23",NA,1972,"NONE"
"24","CM","CLEMENS CREEK","23",NA,1973,"NONE"
"25","CM","CLEMENS CREEK","23",NA,1974,"NONE"
"26","CM","CLEMENS CREEK","23",NA,1975,"NONE"
"27","CM","CLEMENS CREEK","23",NA,1976,"NONE"
"28","CM","CLEMENS CREEK","23",NA,1977,"NONE"
"29","CM","CLEMENS CREEK","23",NA,1978,"NONE"
"30","CM","CLEMENS CREEK","23",NA,1979,"NONE"
"31","CM","CLEMENS CREEK","23",NA,1980,"NONE"
"32","CM","CLEMENS CREEK","23",NA,1981,"NONE"
"33","CM","CLEMENS CREEK","23",NA,1982,"NONE"
"34","CM","CLEMENS CREEK","23",NA,1983,"NONE"
"35","CM","CLEMENS CREEK","23",NA,1984,"NONE"
"36","CM","CLEMENS CREEK","23",NA,1985,"NONE"
"37","CM","CLEMENS CREEK","23",NA,1986,"NONE"
"38","CM","CLEMENS CREEK","23",NA,1987,"NONE"
"39","CM","CLEMENS CREEK","23",NA,1988,"NONE"
"40","CM","CLEMENS CREEK","23",NA,1989,"NONE"
"41","CM","CLEMENS CREEK","23",NA,1990,"NONE"
"42","CM","CLEMENS CREEK","23",NA,1991,"NONE"
"43","CM","CLEMENS CREEK","23",NA,1992,"NONE"
"44","CM","CLEMENS CREEK","23",NA,1993,"NONE"
"45","CM","CLEMENS CREEK","23",NA,1994,"NONE"
"46","CM","CLEMENS CREEK","23",NA,1995,"NONE"
"47","CM","CLEMENS CREEK","23",NA,1996,"NONE"
"48","CM","CLEMENS CREEK","23",NA,1997,"NONE"
"49","CM","CLEMENS CREEK","23",NA,1998,"NONE"
"50","CM","CLEMENS CREEK","23",NA,1999,"NONE"
"51","CM","CLEMENS CREEK","23",NA,2000,"NONE"
"52","CM","CLEMENS CREEK","23",NA,2001,"NONE"
"53","CM","CLEMENS CREEK","23",NA,2002,"NONE"
"54","CM","CLEMENS CREEK","23",40,2003,"NONE"
"55","CM","CLEMENS CREEK","23",NA,2004,"NONE"
"56","CM","CLEMENS CREEK","23",138,2005,"NONE"
"57","CM","CLEMENS CREEK","23",130,2006,"NONE"
"58","CM","CLEMENS CREEK","23",69,2007,"NONE"
"59","CM","CLEMENS CREEK","23",44,2008,"NONE"
"60","CM","CLEMENS CREEK","23",350,2009,"NONE"
"61","CM","CLEMENS CREEK","23",71,2010,"NONE"
"62","CM","CLEMENS CREEK","23",193,2011,"NONE"
"63","CM","CLEMENS CREEK","23",115,2012,"NONE"
"64","CM","CLEMENS CREEK","23",9,2013,"NONE"
"65","CM","CLEMENS CREEK","23",155,2014,"NONE"
"66","CM","CLEMENS CREEK","23",103,2015,"NONE"
"67","CM","CLEMENS CREEK","23",318,2016,"NONE"
"68","CM","CLEMENS CREEK","23",258,2017,"NONE"
